Job Title,Company Name,Company Location,Posting Date,Job Types,Career Level,Years of Experience,Job Link,Job Requirements
Senior Full Stack Software Engineer ( Python - React ),JRM for Communications,"Nasr City, Cairo, Egypt",1 day ago,['Full Time'],Experienced,2 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/tQICjPOxhKYS-Senior-Full-Stack-Software-Engineer-Python---React-JRM-for-Communications-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb,Bachelor's degree in computer science or a related field. | At least two years experience as a full-stack software engineer (.Net/Angular/React) | At least one year's experience as a machine learning engineer. | Proficiency with Python code writing
Sr. Software Developer,Confidential,"Downtown, Cairo, Egypt",1 day ago,"['Full Time', 'Work From Home']",Experienced,2 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/LpmWPxUoeHij-Sr-Software-Developer-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|hpb,At least 2-3 years of experience in commercial programming in Python | Good knowledge of OOP design patterns | At least 1-2 years of experience in developing solutions for AWS the key services are:AWS LambdaAWS DynamoDBAWS API GatewayAWS S3AWS StepFunctionsAWS ECS | AWS Lambda | AWS DynamoDB | AWS API Gateway | AWS S3 | AWS StepFunctions | AWS ECS | Docker experience | Web development knowledge | CI/CD (GitLab is preferable) | Testing | GIT | Very good working knowledge of English language (speaking and writing) | Focus on self-development and constant desire to improve your skills | Good communication skills | Knowledge of Terraform or any other technology connected to infrastructure as code | Cross platform application development e.g. REACT | Agile mindset | CMake
Sr. Front End Developer,Confidential,"Downtown, Cairo, Egypt",1 day ago,"['Full Time', 'Work From Home']",Experienced,5+ Yrs of Exp,https://wuzzuf.net/jobs/p/xG2Vap3E3hdV-Sr-Front-End-Developer-Cairo-Egypt?o=28&l=sp&t=sj&a=python|search-v3|hpb,At least 5 years of professional experience as a web application developer. | Solid knowledge of modern Javascript standards (ES6) and libraries | React | HTML5 | CSS | Design and develop software features based on visual mockups and user stories | Experience with Restful services | Experience with webpack | Excellent understanding of object-oriented design principles and practices | Fluency with VCS versioning control systems e.g. GIT | Very good working knowledge of English language (speaking and writing) | Focus on self-development and constant desire to improve your skills | Good communication skills | Python knowledgeReact NativeDjango knowledgeTypescriptElectron
Linux Systems Administrator,Tqnia IT,"New Cairo, Cairo, Egypt",1 day ago,"['Full Time', 'Work From Home']",Experienced,2+ Yrs of Exp,https://wuzzuf.net/jobs/p/xZfaYIu2Oyy5-Linux-Systems-Administrator-Tqnia-IT-Cairo-Egypt?o=38&l=sp&t=sj&a=python|search-v3|hpb,"Max Age 28 | 2+years minimum experience as a dedicated Linux administrator in a large-scale enterprise environment is a must. | Bachelor’s degree from a reputable university (Communications engineering or computer science background is preferred) | Excellent English and spoken (extensive communication with customers and internal /external teams makes this a MUST). | In-depth knowledge of virtualization technology. | Knowledge of Storage management, provisioning, and optimization. | Experience with the automation of system build, maintenance, and operation processes. | Good knowledge of Windows systems administration is a huge plus - the environment is mixed. | Knowledge of, MySQL, WebLogic, BIND, NGINX, Shell Scripting, CRON Jobs, Backups, Python, LDAP, and virtualization is a huge plus | Experience in systems security, fault tolerance, disaster recovery, and backup technologies/implementations. | Excellent hardware/networking administration skills | Very Good Presentation, analytical & Problem-Solving Skills | Ability to work under pressure and meet deadlines while handling multi-tasks at a time | Availability to work non-standard hours during Maintenance Windows, Business Continuity, Disaster Recovery &/or security incidents. Providing 24x7 operational support for escalations on a rotating basis. | Experience with using ticketing systems like WHMC"
Senior DevOps Engineer,Trufla,"Heliopolis, Cairo, Egypt",1 day ago,['Full Time'],Experienced,4 - 6 Yrs of Exp,https://wuzzuf.net/jobs/p/jjme1DmiCUNT-Senior-DevOps-Engineer-Trufla-Cairo-Egypt?o=39&l=sp&t=sj&a=python|search-v3|hpb,"4+ years of experience managing infrastructures with lots of moving pieces | Experience with any public cloud providers (i.e. AWS, Google & Azure), preferably AWS | Proficiency working with cloud technologies: Dockerization, ECS, CI/CD, auto-scaling, DBs (MySQL, Mongo, Postgres, Elasticsearch, etc…) , IAC | Proficiency with Linux systems and tools | Experience in scripting languages (i.e. Shell, Bash, Python, etc…) | Strong experience in automation | Preferably experience in architecting scalable infrastructures and data warehouses. | Data-driven and strongly motivated by success and learnings through experiments and metrics analysis | Comfortable working in a fast-moving team environment (we deploy many times a day!) | Computer Science degree, or significant equivalent experience | Passion for mentoring and supporting the continued education of team members | Good knowledge of modern deployment tools and technologies (i.e. CI/CD, Docker, AWS, etc…) | Positive attitude and enthusiasm for employee training and development | Flexible and adaptable with proven problem-solving ability | High degree of professionalism, integrity, and confidentiality | Demonstrated accountability and reliability in the quality and timeliness of work | Ability to work well within a team, and independently, and able to adjust to tight and changing deadlines | Critical thinker with strong attention to details"
Python /Django Team Leader,Div Systems,"Mokattam, Cairo, Egypt",1 month ago,['Full Time'],Manager,4 - 8 Yrs of Exp,https://wuzzuf.net/jobs/p/hZjKzuel0z10-Python-Django-Team-Leader-Div-Systems-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb,"Solid knowledge of the HTTP protocol-PostgreSQL- Django , Django Rest framework- Python Expert- Linux server environment-ideally Git- JavaScript -Database Knowledge (Microsoft SQL , Oracle) is preferred"
Senior Python Developer,Andela,"Cairo, Egypt",1 month ago,"['Full Time', 'Freelance / Project', 'Work From Home']",Experienced,2 - 8 Yrs of Exp,https://wuzzuf.net/jobs/p/TORY2AgkfkSh-Senior-Python-Developer-Andela-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb,"Design, scope, and implement technical solutions that scale across multiple web applications | Collaboratively define and prioritize projects and tasks | Drive thoughtful conversations around technical issues and opportunities | Review code and provide thoughtful, constructive feedback for your team and the community | Triage, reproduce and debug technical support requests, bugs, and feature requests reported by users in our Issues on our website. | Provide compassionate technical leadership, mentorship, pairing opportunities, and code reviews to encourage the growth of others | Strong written communication skills | 2+ years experience as a full-time professional coder using Python. | Experience team leading/management. | Experience working asynchronously on a remote, distributed team (does not have to be a professional experience - preferable) | Ability to draw on both system design and software engineering concepts and blend those perspectives pragmatically based on project needs | Experience building highly available services at scale"
Senior Python Developer,FlairsTech,"Maadi, Cairo, Egypt",1 month ago,"['Full Time', 'Shift Based', 'Work From Home']",Experienced,3 - 6 Yrs of Exp,https://wuzzuf.net/jobs/p/1jReTsTyvpCJ-Senior-Python-Developer-FlairsTech-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb,"Bachelors degree in Software Engineering or Mathematics related discipline, with GPA of 3.0 or higher (or the equivalent) | Strong experience with the design and implementation of low-latency, high-availability, and performant applications. | 3 or more years of experience Developing Software Applications within a small to the medium-sized team using primarily Python 2/3."
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew,"San Stefano, Alexandria, Egypt",1 month ago,['Full Time'],Experienced,3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/my7z1Lt70Zqq-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb,"Excellent knowledge of software testing fundamentals. | 3-5 years of experience in the Software development field. | Work experience as a Python Developer | Expertise in at least one popular Python framework (like Django, Flask or Pyramid) | Knowledge of object-relational mapping (ORM) | Familiarity with front-end technologies (like JavaScript and HTML5) | Team spirit | Good problem-solving skills | Excellent command of written and spoken English."
Senior Python Developer,Evolvice GmbH,"Cairo, Egypt",1 month ago,['Full Time'],Experienced,4 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/Sh7jWq45Z9td-Senior-Python-Developer-Evolvice-GmbH-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb,"University degree in Computer Science, Engineering or equivalent degree | 4 years minimum experience in Backend and Cloud development | A solid experience in Django (Python), PostgreSQL and architectures | Full stack minded ,technical architecture, network infrastructure | Experience with digital projects for food retail and/or with significant ERP Retail (eg METI or Gold) | At least Upper-Intermediate English (all the internal communication is in English)"
Junior Python Developer,Confidential,"Nasr City, Cairo, Egypt",1 month ago,['Full Time'],Entry Level,0 - 1 Yrs of Exp,https://wuzzuf.net/jobs/p/6dnY14bWtXiW-Junior-Python-Developer-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb,"0 - 1 years of experience. | Computer Science/ Engineering graduate | Python knowledge is a must | Good knowledge of Linux | Basic understanding of relational database systems | HTML, CSS, jQuery and JavaScript knowledge is a plus | The candidate should have the ability for quick self study | Self solo learner / independent worker"
Full Stack Developer (Python/React) -Fluent English,Fekra Technology Solutions and Construction,"Dokki, Giza, Egypt",1 month ago,"['Full Time', 'Work From Home']",Experienced,5+ Yrs of Exp,https://wuzzuf.net/jobs/p/siSe2DSDszBc-Full-Stack-Developer-PythonReact--Fluent-English-Fekra-Technology-Solutions-and-Construction-Giza-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb,"5+ years of experience developing and architecting for the web. You have intermediate to advanced front-end skills (JavaScript and React) and equally strong experience building back-end services with Python | Familiarity with NoSQL and document-oriented databases (e.g. Datastore) | Good practical understanding of source control, development, and deployment workflows | Experience practicing and implementing continuous delivery using Lean and Agile processes | Demonstrated grasp of functional and object-oriented programming patterns and algorithms | Experience with GraphQL or REST APIs and API design | Strong written and verbal communication skills. Explaining complex technical concepts to designers, POs, and other engineers is no problem for you | You can lead technical architecture discussions and help drive technical decisions within your team | You have a strong dedication to code quality, automation, and operational excellence through unit tests, documentation, and workflow | Prior e-commerce experience with an affiliate, transactional, and popular third-party platforms (e.g. Shopify) is ideal | GCP experience or experience working with cloud-based platforms preferred | BS in Computer Science (or equivalent degree) or equivalent work experience | JavaScript libraries: React | Programming languages: Python, JavaScript | Software Interfaces: Application Programming Interface (API) | Schema Definition Language (SDL): GraphQL | Software architectural styles and patterns: Representational state transfer (REST)"
Python Developer Ecommerce ERP System (Odoo) - Fluent English,Fekra Technology Solutions and Construction,"Dokki, Giza, Egypt",1 month ago,"['Full Time', 'Work From Home']",Experienced,3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/IOKNSDaLYrNy-Python-Developer-Ecommerce-ERP-System-Odoo---Fluent-English-Fekra-Technology-Solutions-and-Construction-Giza-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb,Programming languages: Python | Databases: PostgreSQL | Operating Systems (OS): Linux | Enterprise resource planning (ERP): Odoo
Python Developer- Fluent English,Fekra Technology Solutions and Construction,"Dokki, Giza, Egypt",1 month ago,"['Full Time', 'Work From Home']",Experienced,3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/sZFCXnjuUmvf-Python-Developer--Fluent-English-Fekra-Technology-Solutions-and-Construction-Giza-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb,Strong knowledge and deep understanding of Python | Experience with Flask | Good knowledge of PostgreSQL | Experience with Elasticsearch | The candidate must be familiar with agile methodologies | Сan writes clean code and communicates effectively within a distributed remote team. | Up to three yrs’ of experience required | Programming languages: Python | Databases: PostgreSQL | Web frameworks: Flask | Search and index: Elasticsearch
Python Developer,Trufla,"Heliopolis, Cairo, Egypt",1 month ago,['Full Time'],Experienced,2+ Yrs of Exp,https://wuzzuf.net/jobs/p/o1hH6mubtaOT-Python-Developer-Trufla-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|hpb,"More than 2 years of experience. | Solid experience with Python. | A committed person who is eager to learn. | Good understanding of algorithms, data structures, and complexity. | Solid experience with Django, Flask or other Python web frameworks. | Familiarity with Amazon Web Services (AWS). | Familiarity with containerization concepts (e.g. Docker and Kubernetes). | Good understanding of CI/CD. | Familiar with Agile project management methodologies. | Experience in databases and SQL \/ NoSQL databases. | You have deployed Python applications to production. | Experience with consuming and build REST APIs. | Good understanding of code versioning tools such as Git. | Knowledge of JavaScript and php is a plus. | Familiarity with Linux. | Upload your resume and complete your profile here | Follow the link below to complete our assessment:"
DevOps Engineer,almentor,"Maadi, Cairo, Egypt",1 month ago,['Full Time'],Experienced,2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/eevDs1EkkFtn-DevOps-Engineer-almentor-Cairo-Egypt?o=89&l=sp&t=sj&a=python|search-v3|hpb,"BSc in Computer Science, Engineering or relevant field. | Experience (2-4) years as DevOps engineer. | Good knowledge of Linux/Windows server administration. | Experience with supporting application and database servers. | Good knowledge of  Python."
Technical Consultant,FlairsTech,"Cairo, Egypt",1 month ago,['Full Time'],Experienced,3+ Yrs of Exp,https://wuzzuf.net/jobs/p/0sAcifgC0loM-Technical-Consultant-FlairsTech-Cairo-Egypt?o=92&l=sp&t=sj&a=python|search-v3|hpb,Be self-motivated | Very good to Fluent English | Writing Python scripts | Programming with REST APIs | Linux
Senior DevOps Engineer,EgyProTech,"Maadi, Cairo, Egypt",1 month ago,['Full Time'],Experienced,2+ Yrs of Exp,https://wuzzuf.net/jobs/p/hkIJffDOOjqZ-Senior-DevOps-Engineer-EgyProTech-Cairo-Egypt?o=94&l=sp&t=sj&a=python|search-v3|hpb,"Bachelor degree of Computer Science or any related discipline. | 2+ years of Technical Hands-on in DevOps. | CI/CD and infrastructure management and automation | Expert in Container creation and orchestration using Docker, Kubernetes | Expert in Continuous Integration and Continuous Delivery with Jenkins | Solid hands-on experience with Various build automation tools, such as Maven, NPM | Expert Configuration management with Ansible | Source control experience with GIT | Expert Linux/Unix systems knowledge and scripting | Solid understanding of cloud/hosted infrastructure | Virtualization Experience | Experience in working with one or more programming languages like Groovy, Python, Ruby, JavaScript, Java | Understanding of SQL databases and their hosting requirements | Knowledge in Monitoring and securing applications"
System Administrator IT,Tartoussieh for Engineering,"Bourj Alarab, Alexandria, Egypt",1 month ago,['Full Time'],Experienced,2 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/8pKDMo3K6fQ5-System-Administrator-IT-Tartoussieh-for-Engineering-Alexandria-Egypt?o=96&l=sp&t=sj&a=python|search-v3|hpb,"Proven experience as a System Administrator, Network Administrator or similar role | Experience with databases, networks (LAN, WAN) and patch management | Knowledge of system security (e.g. intrusion detection systems) and data backup/recovery | Ability to create scripts in Python, Perl or other languages | Familiarity with various operating systems and platforms | Resourcefulness and problem-solving aptitude | Excellent communication skills | BSc/Ba in Information Technology, Computer Science or a related discipline; professional certification (e.g. Microsoft Certified Systems Administrator (MCSA) is a plus"
Senior Devops Engineer,Andela,"Cairo, Egypt",1 month ago,"['Full Time', 'Freelance / Project', 'Work From Home']",Experienced,2 - 8 Yrs of Exp,https://wuzzuf.net/jobs/p/xfOnLTU0h4lu-Senior-Devops-Engineer-Andela-Cairo-Egypt?o=97&l=sp&t=sj&a=python|search-v3|hpb,"Node.js with TypeScript | Angular | Postgres | Platform: Google Cloud, Docker, NATS messaging system, Kubernetes, Terraform, Vault | At least 2 years of software development experience | Solid foundation in Linux administration and troubleshooting | Experience with system scripting languages like Bash, Python or Golang | Experience with Docker and container orchestration tools like Kubernetes, ECS, Docker Swarm | Deeply familiar with concepts like DevOps, Continuous Delivery, and TDD | Experience with working with tools like Terraforms, Ansible, Chef, Puppet | Experience with at least one major cloud provider | Strong understanding of computer science principles | Experience working in an agile environment (standups, sprint planning, retrospectives, etc) | Solid written and verbal communication | Experience with system automation | Experience with distributed systems | Experience building large-scale and highly available distributed systems"
Odoo Developer,Yodawy,"Cairo, Egypt",1 month ago,['Full Time'],Experienced,2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/hNzqvqrHPQFJ-Odoo-Developer-Yodawy-Cairo-Egypt?o=98&l=sp&t=sj&a=python|search-v3|hpb,"Bachelor of Computer Science or related. | Strong expertise in Odoo | Expertise in Odoo integrations with other cloud systems | Technical and functional knowledge of Odoo modules and features | Concrete understanding of object oriented design and programming | Expertise in relational databases | Solid expertise with GIT or equivalent source control system | Familiarity with HTML, XML, JavaScript, and JQuery | Good knowledge of business processes | Solid experience with ORM (Object Relational Mapper) libraries such as SQL Alchemy | Able to integrate multiple data sources/databases into one system | Good understanding of accessibility and security compliance | Solid knowledge of user authentication and authorization between multiple systems, servers, and environments | Solid experience of design principles behind a scalable application, data structure, APIs in Odoo"
Senior Business Analyst,Target Recruitment  & HR Solutions ,"Cairo, Egypt",1 month ago,['Full Time'],Experienced,5 - 8 Yrs of Exp,https://wuzzuf.net/jobs/p/WvkF79QaniWF-Senior-Business-Analyst-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=99&l=sp&t=sj&a=python|search-v3|hpb,"From 5 to 8 years of experience in Business analysis or data analysis. | Qualifications in IT related domain. | Excellent Command of English. | Industry experience from one or more core industries (finance, insurance, retail, government). | A strong understand of Data Governance and the experience and ability to assist clients implement data governance polices and capabilities. | Familiarity with both traditional and agile IT project delivery and development cycles. | Information gathering techniques such as workshops, meeting facilitation and interviewing experience. | Requirements documentation techniques; Epics, User Stories, Use Cases, Functional, Non-functional. | Experience in prototyping techniques. | Experience using diagramming techniques to visualise data flows, current and future state process diagrams. | Business organisation change implementation and management. | Experience or knowledge of testing methodologies and supporting business users with UAT testing. | Experience with and understanding of data architectures (staging, integration and semantic layers) | Ability to understand relational and dimensional data models. | Knowledge of analytic/programming languages e.g. SQL, Python or R | Understanding of BI toolset spectrum and relevant usage, such as with data visualization and reporting. | Understanding of advanced analytics and data science. | Requirements management tools: (e.g. JIRA, Quality Centre)"
Senior Odoo Developer,Confidential,"Dokki, Giza, Egypt",1 month ago,['Full Time'],Experienced,2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/ThcjKHeQtKNx-Senior-Odoo-Developer-Giza-Egypt?o=100&l=sp&t=sj&a=python|search-v3|hpb,"Education: BA (prefer computer science and Computer Engineering) | Experience in integrating Odoo with Other Business Systems | Strong object-oriented programming | Proficiency with Agile methodology (Scrum/Kanban) and Software Development Lifecycle | Experience in BDD (Behavior Driven Development) | Ability to elicit needs from key decision-makers | Familiar with the TFS, Jira | Solid knowledge of REST API/GraphQL and XML RPC | Solid UML diagrams experience is plus | Relevant certificates are plus | Skills: Excellent communication skills, Leadership skills, Organized, Time Management"
ETL Developer,Dataplus,"Cairo, Egypt",1 month ago,['Full Time'],Experienced,3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/Hfu4ibKWHCv4-ETL-Developer-Dataplus-Cairo-Egypt?o=101&l=sp&t=sj&a=python|search-v3|hpb,"ETL tool experience (e.g. SSIS, Informatica, Talend) | Database/DBA background | Scripting language knowledge (SQL, Python, Java, etc..) | Modeling tools experience, such as Erwin | Strong teamwork skills | Strong analytical and problem-solving skills"
Odoo Developer,Pan Marine Group,"Cairo, Egypt",1 month ago,['Full Time'],Experienced,2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/cvVaDAHQodFk-Odoo-Developer-Pan-Marine-Group-Cairo-Egypt?o=102&l=sp&t=sj&a=python|search-v3|hpb,"A Bachelor's degree in Computer Engineering or equivalent | Experience in python,XML,odoo | Quick learner | Solid understanding of software development principles | Self-motivated, eager and Good analytical and problem-solving skills | Excellent teamwork and collaboration skills | Excellent problem solving and analytical skills | Proven ability to design and develop complex applications | Strong understanding of object-oriented programming | Excellent Knowledge of SQL (preferable Pgsql) | Ability to work with rudimentary requirements and specification | Intermediate level of English | Demonstrable ability to discover and fix errors in code"
Full Stack Developer,Alternative Education,"Cairo, Egypt",1 month ago,['Full Time'],Experienced,2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/5c58J62BFwFA-Full-Stack-Developer-Alternative-Education-Cairo-Egypt?o=103&l=sp&t=sj&a=python|search-v3|hpb,"You should apply if:- You have experience building a full-stack app from the inception of its idea to production (ideal candidate).- You have experience with React, Next.js, in a production environment (ideally 2+ years experience).- You have strong experience with either Spring, Python or Node.js on the backend and have previously shipped high-quality production code (ideally 3+ years experience).- You like to take ownership of your projects and have a strong user-centric mindset.- You’re structured but also fast on your feet when changes happen.- You're eager to receive and give constant feedback to your co-workers.- You're passionate about education!- BS/MS degree in Computer Science, Engineering.- Familiar with modern web technologies, writing elegant and efficient code, and staying up to date with best practices.- Absolutely excellent understanding of the HTTP protocol and of how REST API's sit upon that.- Experience in Unit testing.- Have hands-on Git.- Experience developing user-friendly, responsive, and appealing websites following modern development standards and workflows.- Familiarity with agile development methodologies.- Positive attitude and a high degree of professionalism and integrity- Strong written and verbal communication and collaboration skills- Demonstrated accountability and reliability in the quality and timeliness of work."
Big Data Developer,Path-Solutions,"Maadi, Cairo, Egypt",1 month ago,['Full Time'],Experienced,5+ Yrs of Exp,https://wuzzuf.net/jobs/p/nCt4aRjEndrx-Big-Data-Developer-Path-Solutions-Cairo-Egypt?o=104&l=sp&t=sj&a=python|search-v3|hpb,"B.Sc. in Computer Science or equivalent | Minimum 5 years of experience in Big Data Technologies. | Familiar with the Hadoop Ecosystem, specifically Sqoop, Flume, Oozie | Knowledgeable in Hadoop administration | Experienced in working with Spark | Experienced in Python statistical modeling techniques and Python libraries. | Programming using Python or Scala | Experienced programming in Java and rest APIs | Familiar with UNIX shell commands | Familiar with Microsoft Azure and/or Hortonworks Data Platform | Machine Learning Algorithms (a plus) | Statistical expertise (statistical tests, t-test, F-test, Profiling techniques, etc.) | Proficiency in English is a must"
App Developer,Recovery franchise marketing services ,"6th of October, Giza, Egypt",1 month ago,['Full Time'],Experienced,2 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/avtM2EDc8JqF-App-Developer-Recovery-franchise-marketing-services-Giza-Egypt?o=105&l=sp&t=sj&a=python|search-v3|hpb,"Proven experience as application developer | Experience in designing and building applications | In-depth knowledge of programming for diverse operating systems and platforms using development tools | Excellent understanding of software design and programming principles. | A team player with excellent communication skills | Analytical thinking and problem-solving capability | Great attention to detail and time-management skills | BSc/BA in computer science or relevant field; MSc/MA will be appreciated | Certified application developer is a plus | Proven experience (professional or otherwise) as an application developer | Ability to program in at least one programming language (e.g. JavaScript or Python) | Deep understanding of core programming principles, including design | Critical and analytical thinking skills | Keen attention to detail | Proficiency with project tracking software, such as Jira | Certification in application development | Experience working as part of a development team | Strong communication skills | Project management experience"
Senior RPA Developer (.Net),SmartTech Systems,"Nasr City, Cairo, Egypt",1 month ago,['Full Time'],Experienced,3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/O5vrr5q8CJ2R-Senior-RPA-Developer-Net-SmartTech-Systems-Cairo-Egypt?o=106&l=sp&t=sj&a=python|search-v3|hpb,"Minimum 3 - 5 years of experience in .NET and Uipath Development are mandatory. | Above-average English communication skills and presentation skills are mandatory. | Must be Uipath Certified Senior developer / Solutions architect. | Uipath MVP is desirable and highly advantageous. | Strong hands-on programming experience on .NET Framework and C#. | Strong knowledge of WPF and windows workflow foundation. | Working knowledge of Angular, Typescript, and Node Js. | Linux and Python experience will be advantageous. | Exceptional ability and tenacity for complex problem-solving. | Ability to learn any new technologies quickly."
